# version	original_sha256	patched_sha256	patch_offset	before	after
4.34.0.8979	c012039c0e9f5ffd33c5b5ac0da069dca68e7566e78124b7c799e5beac3b0034	886c0638717d80cc567f1e9fe05b0072065a6fd67d6d114446e44953cde2822a	0x40df20	48895c	b001c3
4.38.0.9292	d8fc16b8ca15fdcb1a8330f9244a7e93fb12b6a5a72d01003b88e4ec1f175262	88376dc6c9748588b12bf25dade86873313890a291de454fdf64638bcd13949d	0xdb8550	48895c	b001c3
